exit_time,exit_ns,pnl_pips,cum_pnl,drawdown,pair,year
2022-08-05 07:00:00+00:00,1659682800000000,-11.6,201052.9,69.3,EUR_JPY,2022
2022-08-05 07:05:00+00:00,1659683100000000,-16.7,201036.2,86.0,CHF_JPY,2022
2022-08-05 07:15:00+00:00,1659683700000000,4.3,201040.5,81.7,CAD_JPY,2022
2022-08-05 07:35:00+00:00,1659684900000000,2.2,201042.7,79.5,USD_CHF,2022
2022-08-05 07:45:00+00:00,1659685500000000,-0.2,201042.5,79.7,EUR_USD,2022
2022-08-05 08:00:00+00:00,1659686400000000,-4.7,201037.8,84.4,GBP_USD,2022
2022-08-05 08:00:00+00:00,1659686400000000,-2.6,201035.2,87.0,EUR_JPY,2022
2022-08-05 08:30:00+00:00,1659688200000000,-7.7,201027.5,94.7,AUD_CAD,2022
2022-08-05 08:30:00+00:00,1659688200000000,-19.9,201007.6,114.6,AUD_USD,2022
2022-08-05 08:40:00+00:00,1659688800000000,-4.3,201003.3,118.9,NZD_JPY,2022
2022-08-05 08:45:00+00:00,1659689100000000,-22.9,200980.4,141.8,AUD_JPY,2022
2022-08-05 08:45:00+00:00,1659689100000000,-11.8,200968.6,153.6,CHF_JPY,2022
2022-08-05 08:45:00+00:00,1659689100000000,-5.5,200963.1,159.1,EUR_GBP,2022
2022-08-05 08:50:00+00:00,1659689400000000,-22.4,200940.7,181.5,GBP_JPY,2022
2022-08-05 08:50:00+00:00,1659689400000000,-0.8,200939.9,182.3,NZD_USD,2022
2022-08-05 08:50:00+00:00,1659689400000000,-17.1,200922.8,199.4,USD_JPY,2022
2022-08-05 09:30:00+00:00,1659691800000000,-12.8,200910.0,212.2,NZD_USD,2022
2022-08-05 10:10:00+00:00,1659694200000000,4.3,200914.3,207.9,NZD_CAD,2022
2022-08-05 11:20:00+00:00,1659698400000000,-9.9,200904.4,217.8,EUR_JPY,2022
2022-08-05 11:55:00+00:00,1659700500000000,-4.7,200899.7,222.5,EUR_USD,2022
2022-08-05 12:00:00+00:00,1659700800000000,9.5,200909.2,213.0,USD_CHF,2022
2022-08-05 12:00:00+00:00,1659700800000000,6.4,200915.6,206.6,NZD_USD,2022
2022-08-05 12:15:00+00:00,1659701700000000,8.8,200924.4,197.8,NZD_CAD,2022
2022-08-05 13:00:00+00:00,1659704400000000,-43.8,200880.6,241.6,CAD_JPY,2022
2022-08-05 13:10:00+00:00,1659705000000000,54.0,200934.6,187.6,EUR_AUD,2022
2022-08-05 13:20:00+00:00,1659705600000000,88.4,201023.0,99.2,USD_CAD,2022
2022-08-05 14:00:00+00:00,1659708000000000,-0.9,201022.1,100.1,AUD_NZD,2022
2022-08-05 14:35:00+00:00,1659710100000000,5.5,201027.6,94.6,EUR_GBP,2022
2022-08-05 14:35:00+00:00,1659710100000000,-18.2,201009.4,112.8,NZD_CAD,2022
2022-08-05 15:00:00+00:00,1659711600000000,-6.2,201003.2,119.0,GBP_AUD,2022
2022-08-05 16:05:00+00:00,1659715500000000,-12.2,200991.0,131.2,EUR_USD,2022
2022-08-05 16:45:00+00:00,1659717900000000,-2.2,200988.8,133.4,GBP_AUD,2022
2022-08-05 16:50:00+00:00,1659718200000000,-1.2,200987.6,134.6,NZD_CAD,2022
2022-08-05 17:20:00+00:00,1659720000000000,7.1,200994.7,127.5,AUD_NZD,2022
2022-08-05 17:35:00+00:00,1659720900000000,-2.6,200992.1,130.1,EUR_GBP,2022
2022-08-05 17:45:00+00:00,1659721500000000,3.8,200995.9,126.3,EUR_AUD,2022
2022-08-05 17:55:00+00:00,1659722100000000,-5.8,200990.1,132.1,NZD_CAD,2022
2022-08-05 19:00:00+00:00,1659726000000000,74.5,201064.6,57.6,GBP_USD,2022
